,composition,Tc
7782,Ru1Sr2Gd1Cu1.9Li0.1O8,19.0
7783,Y0.4Pr0.6Sr2Cu2.85Re0.15O6.8,20.2
7784,Nb0.75Zr0.25,10.775
7785,Sm1.2Ba1.8Cu3O7.09,38.0
7788,Nd0.8Sm0.2Bi1S2F0.7O0.3,4.65
7789,Nb3Sn0.39Ge0.61,7.6
7790,Co0.96Mo0.04U6,1.5
7793,Zr24.3V48.5Nb27.2,4.6
7794,Ce1Co1In4.989Cd0.011,2.18
7795,Er0.98Gd0.02Rh4B4,8.22
7796,Al1Gd0.0065La3,2.79
7797,Fe1P1Sr2Sc1O3,15.0
7798,Mg0.97Fe0.03B2,32.96666667
7799,U0.98Ni2Al3,1.145
7800,Pb2.04Sr2.07Y0.61Ca0.38Cu3O8,65.0
7802,Y0.5Pr0.5Ba2Cu3O6.53,5.2
7803,La1.898Ba0.102Cu1O4,29.0
7804,Y1Pd2B2C1,22.6
7807,Ba0.7K0.3Bi0.7Pb0.3O3,14.6
7808,Nd1.84Ce0.16Cu1O3.96,16.1
7811,Lu2Ir2.7Rh0.3Si5,3.1
7814,Nb1.02Se2,6.75
7815,Th1.4Sc0.6C3,7.2
7816,Sm1.665Y0.185Ce0.15Cu1O4,10.0
7817,Y1Ba2Cu2.94Ni0.06O6.94,83.5
7818,Nd1.85Ce0.15Cu0.98Zn0.02O4,10.85
7819,Nb3Pd0.02Rh0.98,2.49
7821,Y1Ni1.5Pd0.5B2C1,12.1
7822,Am0.01Si2Th1,2.66
7824,Ir0.7Y0.3,2.16
7826,Zr1Ru1P0.6B0.4,5.6
7828,La0.006Si1V2.994,16.48
7830,Nb3Al0.66Ge0.34,20.4
7831,Al1Pd1Mo6,2.1
7834,La1.7Ba0.3Cu1O4,9.7
7835,Y1.4Th0.6C2.7,16.4
7836,Au0.07Zr0.93,2.52
7837,Hg0.66Pb0.34Ba2Ca1.98Cu2.9O8.4,143.0
7838,Pd0.51Sb0.49,1.67
7839,Sr2Ca1Cu2O5.5,77.0
7840,Y0.45Pr0.55Ba2Cu3O6.953,14.4
7841,Eu1.4Ba1.6Cu3O7.16,28.0
7842,Nd0.4Sm0.6F0.3Bi1S2O0.7,4.66
7843,Cu1Ir1.4Pt0.6Se4,1.64
7846,Y5Os4Ge10,8.946666667
7847,Be22Mo0.4Re0.6,8.6
7849,Sr0.2La1.8Cu0.99Cr0.01O4,22.0
7850,La1.868Sr0.132Cu1O4,35.5
7851,Pb1Mo6S6Se2,5.4
7852,Ba0.65Rb0.35Fe2As2,35.8
7853,Y1La0.2Ba1.8Cu3O7.16,61.7
7855,Y0.72Ca0.28Ba2Cu3O6,47.5
7856,Eu1Nd2S5,3.0
7858,Th0.9La0.2Ru2,5.87
7860,Sr1Ga1.1Si0.9,5.04
7861,Ho1Ni2B2C,8.6
7862,Ag0.05Rh0.04Ti0.91,1.95
7863,Nb3Rh0.7Au0.3,4.6
7864,Co0.03Zr0.97,2.61
7866,Er1Ba2Cu2.85Zn0.15O7,55.0
7869,Y0.1La0.9Ba2Cu3O7.05,79.0
7870,Pb1Ta1S3,3.09
7871,Nd0.8Sm0.2F0.3Bi1S2O0.7,4.745
7872,Y0.9Ca0.1Ba1.5La0.5Cu3O7.19,57.9
7873,Dy1Rh2.8Ir1.2B4,2.82
7875,Sr1.4Ba0.6Cu1O3.4,98.0
7876,Nb0.957Ta0.043,8.55
7878,La1.76Sr0.2Ho0.04Cu1O4,27.85
7886,Pr1.7575Y0.0925Ce0.15Cu1O4,14.5
7890,Eu1Cs1Fe4As4,35.0
7891,Ca2Pt3Si5,1.3
7892,Er1Ba2Cu3O6.94,91.5
7893,Sr1.2Ba0.8Y1Cu2.8Al0.2O7.19,16.0
7894,Zr1Ru1P0.9B0.1,8.1
7896,La1Fe1As0.1P0.9O1,5.96
7898,Y0.4Pr0.6Ba1.2Sr0.8Cu3O7,15.5
7900,Y1Sr2Cu2.65Fe0.35O6.7,34.0
7903,Pb2Rh1,2.66
7904,Nb1.8Ta1.2Sn1,14.1
7906,Y1Ba2Cu3O6.962,92.15
7907,Nb0.4V0.6,4.11
7908,Ba1Fe1.85Ni0.15As2,13.93333333
7909,Ce1Fe1As1F0.12O0.88,43.5
7910,Y0.85Pr0.15Ba2Cu3O6.8,59.0
7912,Y1Sr2Cu2.8Re2O7,42.0
7913,Au0.33La0.67,3.2
7916,Nb3Sn2,16.9
7918,Au1V3,2.2192
7921,Hg0.6Ti0.4Ba2Ca2Cu3O8.4,131.0
7922,Y0.9Sc0.1Ba2Cu3O6.56,91.4
7923,Bi2Sr2.5Nd0.5Cu2OY,50.09
7925,Mo3Sb4,2.1
7928,Y1Ba2Cu3O4,92.0
7929,La1.85Sr0.016Ca0.074Ba0.06Cu1O4,23.5
7930,Tl0.61V6S8,3.5
7931,Ca0.906Nd0.094Fe2As2,19.3
7932,Au0.2La0.8,3.97
7933,Zr0.95V0.05B2,8.2
7934,Y1Ba1.46Sr0.54Cu4O8,79.5
7935,Ba0.9K0.1Bi0.3Pb0.7O3,9.3
7936,La0.75Dy0.25Ba1Ca1Cu3O7,56.0
7937,Y1Ba2Cu2.94Ti0.06O6.91,77.0
7938,Zn1Mo6S8,2.8
7939,Ir0.265O0.035Ti0.65,2.3
7940,Y1Ba2Cu3H0.2O6.795,72.5
7942,Ir0.37V0.67,1.71
7945,Nb3Rh0.9Os0.1,2.3
7946,Zr1Ru0.9Rh0.1P1,2.9
7947,Mo6Se6.5Te1.5,6.23
7948,Th3Ni5C5,5.0
7949,Mo1B0.05C0.82,11.5
7951,Au0.22Nb0.78,7.6
7952,Fe1Se0.574Te0.246,10.01
7953,Pd2Sn1Y1,4.9
7954,Mg1.98Mn0.02B2,36.9
7957,Na0.1Ta1S2,4.4
7958,Rh1Ta1,2.0
7959,Nb3Pb0.15Sn0.85,18.2
7960,C0.57Sr2Ca0.7Y0.3Cu2.33O6.78,60.3
7961,La1Ba1.5Ca0.5Cu3O7.011,78.0
7962,Pd1Te1.04,2.28
7963,Ag1Sn1Se2,4.655
7964,Th0.8Y0.2,1.64
7965,La1.875Ba0.025Sr0.1Cu1O4,29.65
7966,Nb0.747Al0.239Si0.014,18.0
7967,Mg0.5Co0.5B2,31.5
7968,Yb0.55Pr0.45Ba1.7Sr0.3Cu3O6.88,41.0
7969,Rh37Zr63,2.86
7971,Zr2Co0.75Ni0.25,4.91
7973,Er0.6Y0.4Pd2Sn1,2.59
7974,Lu5Rh4Si10,3.72
7976,La1.575Nd0.3Sr0.125Cu1O4,9.0
7977,Nb3.2Al0.24Ge0.4,10.2
7978,Lu0.75Th0.25Rh4B4,11.93
7980,Nb3Sn0.8Sb0.2,16.5
7981,Nb2Pd1S3.5Se1.5,1.87
7983,Li1Zr1N1I1,14.2
7984,Y1Ba2Cu3O6.828,88.0
7985,Tl1Ba0.6Ca0.4La1Cu1O5,14.0
7986,Yb1Pd2Sn1,2.06
7987,Bi1.5Pb0.5Sr1.6La0.4Cu1O6.044,28.1
7988,Rb0.8Fe2Se1.7Te0.3,25.5
7989,Sr1Ga0.8Si1.2,4.24
7991,Ce1Ni0.86Bi2,4.1
7994,Zr1N1Cl1,13.0
7995,Nb0.25Ti0.75,7.4
7996,Ag0.7Mo3Se4,5.96
7998,Ga3Nb5,1.35
7999,Hg2Mg1,4.0
8000,Ta1S1.8Se0.2,2.75
8001,Bi0.1C1.45Y0.9,9.35
8002,Zr0.3Hf0.7V2,9.96
8003,Co4.95Ga25V70.05,7.56
8004,Y1Ba1Sr1Cu2.75Sn0.25O7.163,40.9
8005,Ba0.87Nd0.13Fe2As2,4.76
8007,Pd0.3Zr0.7,2.53
8008,Nd2Cu1F0.2O4,13.0
8009,Ca1Fe1.73Co0.27As2,12.0
8010,Y0.95Gd0.05Ni2B2C1,13.5
8011,Nd0.6Sm0.4F0.3Bi1S2O0.7,5.21
8012,Tm1Ba1Sr1Cu3O6.94,70.0
8013,Hg1Ba2Cu1O4.01,64.5
8016,La1.85Sr0.15Cu0.9725Zn0.0275O4,1.2
8017,La1.79Sr0.21Cu0.99Zn0.01O4,20.0
8018,Bi1.8Pb0.2Sr2Ca1Cu1.92Co0.08O8,43.0
8020,C0.7Nb0.3,6.0
8021,Gd1.4Ce0.6Sr2Cu2Ti1O10,11.0
8023,Ba0.86La0.14Fe2As2,22.7
8024,Bi0.15Ge0.15Nb3Sn0.7,17.75
8026,Pr2Pt3Ge5,7.8
8027,Y0.95Sc0.05Ba2Cu3O6.63,91.7
8029,Zn0.025In2O3,2.68
8030,Ba1.2Sr0.8Yb1Cu3O6.61,36.7
8032,Ba0.75Na0.25Ti2Sb2O1,5.015
8033,Bi2Sr2Cu1O6.36,8.0
8036,Y1Ba2Cu3O6.765,75.8
8037,Sr1Fe1.78Ni0.22As2,2.305
8038,Ag1Bi2,3.0
8039,Tb0.2Er0.8Ni2B2C1,7.1
8041,Y1Ba2Cu3F1.46O6,55.0
8042,Th1Ir2Ge2,1.51
8044,Y0.76Ca0.24Ba2Cu2.64Co0.36O6.96,66.0
8045,Nb1Se2,6.814619048
8047,Y0.9Pr0.1Ba2Cu3O6.98,85.9
8048,Ga0.251Nb0.749,19.9
8049,Ce0.95Nd0.05Co1In5,1.95
8050,Nd1Fe0.95Rh0.05As1O1,7.1
8053,Co1Sc0.125Zr1.875,2.89
8054,Ca1Rb1Fe4As4,35.0
8057,Er0.75Tb0.25Ni2B2C1,4.45
8058,Ce1Fe1As1H0.3O0.7,44.9
8059,Ca1Fe1.82Co0.18As2,15.7
8060,Nb3Rh0.95Co0.05,1.96
8061,Sr1Fe1.4Ru0.6As2,19.8
8062,Dy1Ba1.6Sr0.4Cu3O6.89,80.6
8064,Ga1Sr2Ca3Cu4O10.8,93.0
8065,La0.92Nd0.08Pt1Si1,2.04
8068,Li0.8Fe1.2Se0.47S0.53H1O1,24.2
8070,Bi2Rb1,4.25
8071,Mg0.98Al0.02B2,36.7
8072,La1.85Sr0.15Cu1H0.1O4,35.4
8073,Nb0.5Re0.5,2.9
8074,Mg0.97Cr0.03B2,35.1
8075,Er0.94Ca0.06Ba2Cu2.82Co0.18O6.76,64.0
8076,Eu1Ba1.2Pr0.3Sr0.5Cu3O6.89,32.0
8077,Cu0.044Ti1Se2,1.5
8078,Tm1Ba2Cu3O6.8,79.8
8081,La1.87Sr0.125Cu1.07O4,26.4
8082,Y1Ni2Pd,16.3
8083,La1.9Ba0.1Cu0.99Ga0.01O4,14.3
8085,C0.25N0.75Nb0.85Ti0.15,17.8
8086,Sn0.672Ge0.168In0.16Te1,1.93
8088,La1.85Sr0.09Ca0.034Ba0.026Cu1O3.99,32.2
8090,Y0.85Ca0.15Ba2Cu3O6.71,78.0
8091,Fe0.08Nb0.05Ti0.87,4.7
8092,Y1.968Lu0.032Fe3Si5,2.9
8093,Nb0.72Sn0.28,18.2
8094,Nd2Cu1F0.3O4,19.0
8095,Y0.74Ca0.26Ba2Cu3O6,44.7
8096,La0.8Ti0.2Bi1S2O1,2.35
8097,Y0.94Ca0.06Ba2Cu3O6.97,83.4
8098,Nd0.85Pr0.15Ba2Cu3O6.75,21.6
8100,Pr2Ba4Cu7O14.36,20.6
8101,H0.55La0.89Sr0.11Cu0.995Fe0.005O4,13.2
8102,Tm1Ba2Cu3O6.41,19.0
8103,Nd2.1Cu1O4,30.35
8104,Au25Sb75,6.7
8105,Pr0.8Sr0.2Fe0.7Co0.3As1O1,4.48
8107,C0.28N0.76Nb1,16.4
8108,Y1Ba2Cu2.97Zn0.03O6.68,41.0
8109,Y0.899Ca0.101Ba2Cu3O6.943,83.0
8111,Y2I1.3Br0.7C2,10.5
8112,H0.12Ta0.88,2.81
8114,Ga9Rh2,1.925
8115,Nd1Pt2.1B2.4C1.2,2.91
8116,Y2Fe1C4,3.6
8118,Bi0.86Tl0.14,6.5
8119,Nd1.1Ba1.9Cu3O7.05,65.5
8120,Bi2.05Pb0.05Sr1.9Cu1OY,9.4
8122,Ce0.15Ru0.85,3.9
8123,Hg1Pb2.3,6.0
8128,Li2Pd3B1B1,8.19
8129,In3Te4,1.2
8131,Nb25Ti50Zr25,7.2
8133,C3Ho0.6Th1.4,5.2
8134,Nd1Ba2Cu3O6.78,63.0
8135,Y1Ba1.9La0.1Cu4O7.8,67.8
8136,Hf0.8Zr0.2V2,9.73
8137,Sb0.28Tl0.72,5.2
8138,Fe0.05Ta1S2,3.0
8140,Tl1.7Ba2Cu1O6,24.0
8143,Ni2P2Sr4Sc2O6,3.525
8144,Y0.8Ca0.2Ba2Cu3O6.84,82.0
8145,Ir1V2,1.39
8146,Nb2.75Sn1Ta0.25,17.8
8149,La2.406Pr0.594Tl1,2.4
8151,Hg0.5Fe0.5Sr2Y0.7Ca0.3Cu2O6.7,24.0
8152,La1.1Ba1.5Ca0.4Cu3O6.97,70.0
8153,Tl2Ba2Ca1Cu2O7.978,95.0
8154,Nb81Si19,4.35
8155,Al0.01Nb0.97O0.02,8.3
8156,Ce1Cu2Ge2,1.32
8158,Sr0.9La0.1Cu1O1.96,42.5
8159,Y0.64Ca0.36Ba2Cu2.64Co0.36O6.87,82.0
8161,Mo0.38Re0.62,5.7
8162,Bi2Sr2Ca1Cu1.96Fe0.04O8,65.7
8163,In0.2Pb0.8,6.95
8164,Hg1Ba2Cu0.97Zn0.03O4.027,28.0
8165,H0.55La1.8Sr0.2Cu0.995Fe0.005O4,26.0
8166,Pt0.52W0.48,1.35
8167,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.1,48.3
8169,La1Fe4P12,3.075
8170,Mg0.95Al0.05B2,36.46666667
8172,Y0.8Ca0.2Ba2Cu3O6.03,43.5
8173,Nd1.295Gd0.555Ce0.15Cu1O4,17.0
8174,U6Mn0.5Fe0.5,2.86
8176,La1Ni1As1H0.17O0.83,3.68
8177,Nb2.976Ti0.024Al1,17.7
8178,Fe0.95Zn0.05Se0.3Te0.7,13.5
8180,Bi3.85Co0.15S3O4,3.9625
8182,Nb0.75Al0.225Ge0.025,17.9
8183,Mg1B1.896C0.104,35.0
8184,Yb0.9Pr0.1Ba2Cu3O6.92,88.0
8186,In0.08Sn0.92Te1.01,1.45
8188,Y1Ba1.4Sr0.6Cu3O6.8,86.0
8189,Y0.5Th0.5Ni1C2,8.3
8190,Tm1Ba2Cu3O6.65,92.5
8192,Ga0.253V0.747,14.9
8193,La0.8Sr0.2Fe1As1O1,24.9
8196,Ca0.1La1.15Ba1.75Cu3O7.148,57.1
8197,Bi0.1Sn0.9,5.34
8198,La1.13Pr0.72Sr0.15Cu1O4,32.0
8199,Ba1Ag0.4Si1.6,2.79
8200,Tm1.8Pr0.2Ba4Cu7O14.725,76.0
8201,Y0.95Tb0.05Ni2B2C1,14.42
8203,Tl1Sr2Ca1Cu2O6.74,43.0
8205,Pr2Ba4Cu7O14.44,20.75
8207,Hf1V2H1.6,2.2
8208,Mg0.997Fe0.003B2,37.8
8211,Li1Ti1.91Cu0.09O4,14.4
8213,Eu1Ba1Sr0.9Ca0.1Cu3O6.95,81.0
8215,Nb0.3Mo0.7C1,12.1
8216,Y0.9Tb0.1Ba2Cu4O8,78.0
8219,La1Pd0.8Bi2,2.865
8220,Nb3Ga0.8Sn0.2,16.2
8221,Mg1B1.81C0.19,30.335
8222,Ce0.95Yb0.05Co1In5,1.945
8223,Mg1B1.92F0.08,21.0
8224,Sr0.5Rb0.5Bi1O3,13.0
8226,Ce1Rh0.35Co0.65In5,1.38
8227,Ge1.9La1,2.17
8228,Ba1Fe1.82Co0.18As2,20.7
8230,Bi1Pb1Sr2Y0.6Ca0.4Cu2O8,83.0
8231,Y1Sr0.8Ba1.2Cu2.5B0.5O7,51.0
8232,Bi1.6Pb0.4Sr1.6La0.4Cu1O4,36.0
8233,Mo0.95Hf0.05C0.74,12.4
8234,Ba0.82La0.18Fe2As2,14.8
8235,Pb1Mo6S4Se5,3.64
8236,Ba0.66K0.34Bi1O3,28.1
8237,Nd1.85Ce0.15Cu0.994Co0.006O4,2.15
8238,Pd2.8S1,1.63
8241,Nb1C0.3N0.62,17.3
8242,Y1Ba2Cu3.996Ni0.004O8,78.0
8244,Cr0.008Cu1Rh1.992S4,3.9
8245,Ba6Nb10O30,1.625
8247,Si0.206V0.794,14.5
8248,Ca5.9Sr3.5Bi0.3Y0.1Pb0.1Al0.1Cu15.1O29,75.0
8249,Li0.15Sr2Cu1Br2O2,8.0
8250,Nd1F0.7Bi1S2O0.7,4.78
8253,La1Fe1As1F0.28O0.68,33.5
8254,H0.995Pd1,9.275
8255,Er0.85Ca0.15Ba2Cu3O6.93,79.5
8257,B5Mo1.7Nb0.3,8.3
8258,In0.05Pb0.95,7.091
8259,Si1V2.7Nb0.3,12.8
8261,Bi2F0.6S2O0.4,5.1
8265,Hg0.92Ba2.05Cu1.03O4.079,79.2
8266,Ge0.3Cu0.7Sr2Ca2.9Y0.1Cu4O11.1,89.0
8267,Ir3Th7,1.52
8268,La0.9Nd0.1Pt1Si1,1.42
8269,Tc6Zr1,9.7
8270,Zr2Co0.95Ga0.05,5.79
8271,Pd2Sc1Pb1,2.4
8272,Tm1Pd2Sn1,1.92
8274,Ho0.85Dy0.15Ni2B2C1,7.895
8275,La98Lu0.934Tb1.066,1.608
8276,Y0.3Pr0.7Ba1Sr1Cu3O6.95,14.0
8277,Yb0.9Pr0.1Ba2Cu3O6.97,88.5
8278,Y2Ba4Cu7O14.13,37.0
8279,Ba0.5K0.5Fe1.9Mn0.1As2,9.53
8280,C1Hf0.3Mo0.7,5.5
8281,La98Lu1.15Tb0.85,2.582
8282,Ca0.1Ba1.65La1.25Cu3O7.02,26.4
8283,Y1Ba2Cu2.55Ga0.45O7,65.36
8284,Pb1S3Ta1,3.11
8285,Ga1Sr2Tm0.7Ca0.3Cu2O7,40.0
8287,Pd0.15Ti0.85,4.32
8288,Nd2Cu1F0.1O4,6.0
8289,Y1Ba2Cu2.975Zn0.025OY,82.8
8290,Er1Ni1.965Fe0.035B2C1,7.31
8291,Al20.3V20,1.49
8293,Pr0.925Gd0.925Ce0.15Cu1O4,9.5
8294,La2.91Pr0.09Tl1,7.55
8295,Al2N1Nb3,1.3
8296,La1.75Sr0.25Cu1H0.1O4,26.8
8299,K0.9Bi1.1O3,8.35
8300,Bi1Pb1Sb1,8.9
8301,La2Cu1O4.075,45.0
8302,Al0.08V0.92,2.36
8303,Ge2Lu1,2.6
8304,Ga1V4.5,9.15
8307,Nd1.1Ba1.5Ca0.4Cu3O6.864,54.0
8308,La3Co4Ge13,2.8
8309,Rb2K1C60,25.4
8310,Gd0.85Mo0.15Ba2Cu3O6.855,59.2
8311,Lu3Si5,7.0
8313,Pd0.95Rh0.05Te2,1.65
8315,Mg0.7Li0.15Al0.15B2,25.1
8316,Th0.6Sc1.4C3,5.4
8317,Sr1.9Ba0.1Cu1F2O2,54.0
8318,O3Rb0.33W1,7.7
8320,La0.85Pr0.15Pb3,1.88
8322,Na0.28Co1H2.6O3.3,4.48
8323,Bi4Ca3Sr3Cu4O16,88.16666667
8324,Ga20.5V79.5,9.7
8325,La1Ba2Cu3O7,89.6
8326,Bi2Sr2Ca0.8Lu0.2Cu2O8.27,92.5
8327,Y1Ni1.4Cu0.6B2C1,10.45
8328,Ca0.835La0.165Fe2As2,41.2
8329,Ca0.85La0.15Fe1As1.98Sb0.02,43.0
8330,Ca1Al0.74Si1.26,2.46
8331,Bi2Sr2Ca0.5Y0.5Cu2O8.33,40.0
8332,V50Ti49Mo1,6.9
8334,Bi0.6Sn0.4,7.0
8338,Dy1Ba2Cu2.98Zn0.02O6.87,81.0
8340,Ru0.43V0.57,2.92
8341,Pr1.85Ce0.15Cu0.99V0.01O3.98,22.0
8342,Y0.7Ca0.3Ba2Cu2.7Co0.3O6.93,84.0
8343,La1Pb2.25Sn0.75,1.11
8345,Sm1Fe1As1F0.075O0.925,33.0
8346,Pr1.665Gd0.185Ce0.15Cu1O4,15.5
8348,Li1.1Fe1As1,20.0
8350,Y0.75Ca0.25Ba2Cu2.75Ni0.25O6.77,62.0
8351,Y1Ba2Cu3F0.15O6.7,89.5
8352,C1Hf0.15Mo0.85,9.0
8353,La1.9Gd0.1Ba2Ca0.2Cu4.2O9.839,15.0
8354,Y1Sr0.5Ba1.5Cu2.5B0.5O7,15.0
8355,La3Tl1,8.905
8356,Nb0.51Mo0.49C1,12.22
8357,Hf0.9Mo0.1,2.5
8358,Sr0.83Nd0.17Cu1O2,35.0
8359,Cu70Sn30,1.2
8360,La0.96Nd0.04Pt1Si1,3.04
8361,V75Si5Ge20,6.76
8362,Nb0.8Ga0.17Ni0.03,11.8
8363,Er1Rh1.1Sn3.6,1.36
8364,Ba0.96K0.04Ti2Sb2O1,3.88
8365,Fe1.04Te0.6Se0.4,14.0
8366,V75Ge20Sn5,5.46
8367,K0.7Fe1.55Se1.01S0.99,21.4
8368,Nd1.665Tb0.185Ce0.15Cu1O4,13.5
8371,La0.84Pr0.16,2.2
8372,Y1Sr2Cu3O7.2,64.0
8373,N0.7Nb1,11.3
8374,Fe1Se0.89S0.11,10.7
8375,Li2B1Pd3,7.61
8377,Ba1.6Sr0.4Yb1Cu3O6.64,47.0
8378,Sm1Fe1As1H0.066O0.934,43.3
8379,Y0.9Pr0.1Ba2Cu3O6.6,44.1
8380,Er1Ni1.98Fe0.02B2C1,9.535
8382,Nd1Ba1.7La0.3O6.77,57.5
8383,Ca1Ni1B1N1,2.08
8384,Sr1Ta2S5,2.955
8387,Pr0.93Ce0.07Pt4Ge12,5.52
8388,Mg0.81Al0.19B2,30.8
8389,Yb1Bi1S2F0.5O0.5,5.3
8390,La0.9Sm0.1Bi1S2F0.5O0.5,2.93
8391,Hg0.9W0.1Ba2Ca1Cu2O6.2,118.0
8392,Pb2Cu0.9La1.1Cu2O6.24,31.3
8394,Nb3Al0.5Zn0.5,16.0
8396,Nb3Al0.6Ge0.4,19.7
8398,Ce1Bi3.2Pb0.8Te6,2.9
8399,Nd1.1Ba1.7Sr0.2Cu3O6.858,70.0
8400,La1Fe1As1H0.4O0.6,23.9
8401,La1.75Nd0.1Ca0.064Ba0.086Cu1O4,18.0
8402,Ce0.6Nd0.4Bi1S2F0.5O0.5,3.0
8403,Ru0.55Rh0.45P1,3.6
8404,Ce0.86Tb0.14Ru2,4.51
8405,La0.55Lu0.45,2.2
8406,C1Nb1,10.025
8408,Li1.12Ti1.88O4,9.9
8409,Fe0.05Ni0.05Zr0.9,3.9
8410,Cu1.5Rh1.5S4,4.55
8411,Lu1Ni1B1C0.85,2.4
8412,Ba1.34Eu2Ce0.66Cu3O8.96,15.0
8414,Tl1Sr2Ca2Cu3O9.4,86.0
8415,La0.5Ca0.2Pr0.3Ba1.5Sr0.5Cu3O6.829,34.0
8416,Ce0.925La0.075Co1In5,1.31
8417,La1Fe1As0.75P0.25O1,10.3
8420,Bi4Sr3Ca3Cu4O16.25,83.0
8422,Ga1V3H0.37,8.1
8424,La1.295Pr0.555Sr0.15Cu1O4,33.0
8426,Bi2Sr2Ca2Cu3O,111.0
8427,Bi1.8Pb0.2Sr2Ca0.8Nd0.2Cu2O8.21,87.0
8428,Os0.07Zr0.93,5.66
8429,Be3Ga1,6.7
8431,Y1La1.8Ba3.2Cu6O14.49,41.9
8433,Mg0.7Li0.3B2,31.55
8434,Rb3C60C60,29.0
8435,Hg0.7Mo0.3Sr2Cu1O4,36.0
8436,Hg0.9Pb0.1Ba2Ca2Cu3O8,130.0
8438,Er1Ni2B2C1,9.465833332999999
8439,Nb3In0.15Sn0.85,18.3
8440,Ca8.32Ce1.68Pt3Fe10As18,30.4
8441,La1.85Sr0.15Cu0.99Ni0.01O4,30.675
8442,Mo0.82Re0.18,8.5
8443,Re24Ti6,6.6
8444,Bi1.7Pb0.3Sr2Ca0.99Nd0.01Cu2O8.03,82.5
8445,Mn0.3Fe0.7Se0.85,9.7
8450,La1.85Sr0.15Cu0.985Al0.015O4,15.0
8451,As3Sn4,1.195
8452,La2.375Ca1.25Ba2.375Cu6O14.062,78.0
8453,Pr1.85Ce0.15Cu0.998Ni0.002O4.065,15.89
8454,Ta0.1Zr0.9,3.76
8457,Mo0.2Nb0.8,4.4
8459,Nb0.5Ti0.5N0.95,15.1
8460,Y0.74Ca0.16Sr1.1Ba1Cu2.78S0.22O7,75.1
8462,Ca0.719La0.281Fe2As2,31.7
8463,La1Fe1As1H0.21O0.79,17.8
8466,Nb3Rh0.98Os0.02,2.42
8467,Y0.8Ca0.2Sr1Ba1Cu2.8B0.2O7,45.0
8468,La1Te1,1.48
8469,Au1Sn1,1.25
8470,Ir0.88Pt0.12Te2,1.92
8471,Se3Ta1,2.1
8472,Re0.6W00.4,6.0
8474,Bi0.019In0.981,3.86
8475,Gd1Ba2Cu3O7.08,93.8
8477,Au0.332Te0.668,1.89
8478,Ba1Al1Ge1,6.3
8479,La1.85Sr0.15Cu0.985Ni0.015O4,27.7
8481,Ru0.46V0.54,5.16
8482,Bi8Sr5Ca7Cu9O34.94,74.4
8484,Pb1Se1Eu1S1,2.48
8485,Nb60Mo20Si20,5.0
8487,Nb1S3Sn1,2.85
8489,Sr1Fe1.85Ni0.15As2,8.93
8490,Nb0.93Tc0.07,7.0
8491,Nb0.8Ga0.15Cr0.05,9.7
8492,Dy1Ir2Rh2B4,4.64
8493,La1.65Sr0.35Cu0.9Ti0.1O4,29.9
8494,Nb0.7Fe1.55Se1.01S0.99,23.5
8496,Nb2Pd1S4Se1,2.76
8497,Ba1Fe2As1.28P0.72,22.4
8498,Nd1Rh6B6,5.4
8500,La1.77Sr0.23Cu0.96Ti0.04O4,32.8
8501,Ga0.19Nb0.81,13.3
8504,Bi0.5Pb0.25S0.25Sr2Ca0.7Nd0.3Cu2O6.97,75.0
8505,Ba0.6Rb0.4Bi1O3,29.0
8506,Ce1Fe0.85Co0.15As1F0.1O0.9,4.0
8507,Rb1Bi1O3,11.0
8508,Ba1Fe1.32Ru0.68As2,14.5
8510,Nd0.925Gd0.925Ce0.15Cu1O4,13.0
8511,Mg1C1Ni2.98Fe0.02,5.46
8512,Ru0.92Ce0.58Sr1.7Eu1.8Cu2O10,26.0
8513,Sm1La0.8Sr0.2Cu1O3.94,24.8
8515,Fe0.99Cu0.01Se0.88,5.64
8516,Pr1Fe1As1O0.896,44.4
8518,Y1Ba2Cu2.9Zn0.1O7,51.5
8519,La0.8Pr0.2Ba1.5Sr0.5Cu3O6.906,24.0
8523,C1.45Mo0.1Y0.9,13.8
8524,Pr1.87Ce0.13Cu1O3.99,16.0
8528,La1.8Ca0.2Cu1O4,30.0
8529,La1Fe1As0.6P0.4O1,4.3825
8530,Fe1Te0.95Se0.05,6.7
8531,Au2Pb1,2.6575
8532,Bi1.6Pb0.3Sr2Ca2Cu3V0.1O10.12,102.5
8534,Y0.7Pr0.3Ba2Cu3O6.85,27.4
8535,Ga0.9Sr2Y0.6Ca0.4Cu2.1O7,41.0
8536,Er1Rh1.6Ir2.4B4,2.11
8537,Pb0.6Cu0.4Sr0.8La1.2Cu1O5.28,28.1
8538,Lu1Ru1B2,10.054
8540,C0.984Nb1,9.8
8542,Y1Ba2Cu2.97Zn0.03O6.9,81.0
8543,N1V1,8.106666667
8544,Pb2Sr2Dy1Cu3O8,76.5
8545,Fe0.15Ni0.85Zr2,2.31
8546,Tl1Sr2Ca1Cu2O6.825,40.0
8547,Er1Ba2Cu2.97Fe0.03O6.94,88.0
8548,Ca1Si3,4.25
8551,Mo0.2Nb0.2Re0.6,7.6
8553,La1.76Nd0.125Sr0.115Cu1O4,25.5
8554,V3Si0.76Al0.24,11.2
8555,Cu0.9Co1.9S4,1.6
8556,Mg0.8Al0.2B2,28.71
8558,Be2Nb1.5Ta1.5,1.7
8559,Pr1.85Ce0.15Cu1O3.97,20.0
